team_name,user_email
Sales Team 1,user1@example.com
Sales Team 1,user2@example.com
Sales Team 1,user3@example.com
Sales Team 1,user4@example.com
Sales Team 1,user5@example.com
Sales Team 2,user6@example.com
Sales Team 2,user7@example.com
Sales Team 2,user8@example.com
Sales Team 2,user9@example.com
Sales Team 2,user10@example.com
Engineering Team 1,user11@example.com
Engineering Team 1,user12@example.com
Engineering Team 1,user13@example.com
Engineering Team 1,user14@example.com
Engineering Team 1,user15@example.com
Engineering Team 2,user16@example.com
Engineering Team 2,user17@example.com
Engineering Team 2,user18@example.com
Engineering Team 2,user19@example.com
Engineering Team 2,user20@example.com
